time_index,hash,area,percent,area_type
2022-04-20 05:52:51 UTC,#a52714,72920.5579474705,12.079,occupied_after_24_02_2022
2022-04-20 05:52:51 UTC,#880e4f,46728.04508581107,7.74,occupied_to_24_02_2022
2022-04-20 05:52:51 UTC,#bcaaa4,2469.456574808098,0.409,unspecified
2022-04-20 05:52:51 UTC,#bdbdbd,1193.867434622073,0.198,other_territories
2022-04-20 16:26:28 UTC,#0f9d58,19754.786071615377,3.272,liberated
2022-04-20 16:26:28 UTC,#a52714,72845.67895713473,12.067,occupied_after_24_02_2022
2022-04-20 16:26:28 UTC,#880e4f,46728.04508581107,7.74,occupied_to_24_02_2022
2022-04-20 16:26:28 UTC,#bcaaa4,2469.456574808098,0.409,unspecified
2022-04-20 16:26:28 UTC,#bdbdbd,1194.166183517327,0.198,other_territories
2022-04-21 07:49:46 UTC,#0f9d58,19754.786071615377,3.272,liberated
2022-04-21 07:49:46 UTC,#a52714,72868.1247087599,12.07,occupied_after_24_02_2022
2022-04-21 07:49:46 UTC,#880e4f,46728.04508581107,7.74,occupied_to_24_02_2022
2022-04-21 07:49:46 UTC,#bcaaa4,2469.456574808098,0.409,unspecified
2022-04-21 07:49:46 UTC,#bdbdbd,1226.7989831024036,0.203,other_territories
2022-04-22 04:30:53 UTC,#0f9d58,19743.042781032964,3.27,liberated
2022-04-22 04:30:53 UTC,#a52714,72880.21955226031,12.072,occupied_after_24_02_2022
2022-04-22 04:30:53 UTC,#880e4f,46728.04508581107,7.74,occupied_to_24_02_2022
2022-04-22 04:30:53 UTC,#bcaaa4,2469.456574808098,0.409,unspecified
2022-04-22 04:30:53 UTC,#bdbdbd,1226.7989831024036,0.203,other_territories
2022-04-22 18:17:50 UTC,#0f9d58,19743.042781032964,3.27,liberated
2022-04-22 18:17:50 UTC,#a52714,72928.41632057373,12.08,occupied_after_24_02_2022
2022-04-22 18:17:50 UTC,#880e4f,46729.26255646628,7.74,occupied_to_24_02_2022
2022-04-22 18:17:50 UTC,#bcaaa4,2469.456574808098,0.409,unspecified
2022-04-22 18:17:50 UTC,#bdbdbd,1193.3268780656806,0.198,other_territories
2022-04-22 19:55:36 UTC,#0f9d58,19824.322418242,3.284,liberated
2022-04-22 19:55:36 UTC,#a52714,74949.92854387757,12.415,occupied_after_24_02_2022
2022-04-22 19:55:36 UTC,#880e4f,46731.04359624694,7.741,occupied_to_24_02_2022
2022-04-22 19:55:36 UTC,#bcaaa4,1234.2030075652694,0.204,unspecified
2022-04-22 19:55:36 UTC,#bdbdbd,518.9691191258562,0.086,other_territories
2022-04-22 21:37:55 UTC,#0f9d58,19824.322418242,3.284,liberated
2022-04-22 21:37:55 UTC,#a52714,75166.94359109185,12.451,occupied_after_24_02_2022
2022-04-22 21:37:55 UTC,#880e4f,46731.04359624694,7.741,occupied_to_24_02_2022
2022-04-22 21:37:55 UTC,#bcaaa4,1234.2030075652694,0.204,unspecified
2022-04-22 21:37:55 UTC,#bdbdbd,518.9691191258562,0.086,other_territories
2022-04-23 20:52:36 UTC,#0f9d58,19824.322418242,3.284,liberated
2022-04-23 20:52:36 UTC,#a52714,75222.38133131426,12.46,occupied_after_24_02_2022
2022-04-23 20:52:36 UTC,#880e4f,46731.04359624694,7.741,occupied_to_24_02_2022
2022-04-23 20:52:36 UTC,#bcaaa4,1234.2030075652694,0.204,unspecified
2022-04-23 20:52:36 UTC,#bdbdbd,518.9691191258562,0.086,other_territories
2022-04-24 12:56:09 UTC,#0f9d58,19824.91102774806,3.284,liberated
2022-04-24 12:56:09 UTC,#880e4f,46731.04359624694,7.741,occupied_to_24_02_2022
2022-04-24 12:56:09 UTC,#bcaaa4,215.72392381185307,0.036,unspecified
2022-04-24 12:56:09 UTC,#bdbdbd,519.1534128185017,0.086,other_territories
2022-04-24 12:56:09 UTC,#a52714,76480.44454863641,12.669,occupied_after_24_02_2022
2022-04-24 16:13:22 UTC,#0f9d58,20172.28221244329,3.341,liberated
2022-04-24 16:13:22 UTC,#880e4f,46731.04359624694,7.741,occupied_to_24_02_2022
2022-04-24 16:13:22 UTC,#bcaaa4,293.99473506045973,0.049,unspecified
2022-04-24 16:13:22 UTC,#bdbdbd,519.1534128185017,0.086,other_territories
2022-04-24 16:13:22 UTC,#a52714,76386.45074121958,12.653,occupied_after_24_02_2022
